"Year","Month","Geography_Type","Strata","Strata_Name","Cause","Cause_Desc","Count","Annotation_Code","Annotation_Desc"
1979,01,Occurrence,Total Population,Total Population,ALL,All causes (total),15852,,
1979,01,Occurrence,Age,Under 1 year,ALL,All causes (total),384,,
1979,01,Occurrence,Age,1-4 years,ALL,All causes (total),58,,
1979,01,Occurrence,Age,5-14 years,ALL,All causes (total),77,,
1979,01,Occurrence,Age,15-24 years,ALL,All causes (total),405,,
1979,01,Occurrence,Age,25-34 years,ALL,All causes (total),437,,
1979,01,Occurrence,Age,35-44 years,ALL,All causes (total),508,,
1979,01,Occurrence,Age,45-54 years,ALL,All causes (total),1086,,
1979,01,Occurrence,Age,55-64 years,ALL,All causes (total),2319,,
1979,01,Occurrence,Age,65-74 years,ALL,All causes (total),3428,,
1979,01,Occurrence,Age,75-84 years,ALL,All causes (total),4110,,
1979,01,Occurrence,Age,85 years and over,ALL,All causes (total),3032,,
1979,01,Occurrence,Gender,Female,ALL,All causes (total),7339,,
1979,01,Occurrence,Gender,Male,ALL,All causes (total),8513,,
1979,01,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,13,,
1979,01,Occurrence,Gender,Female,ALZ,Alzheimer's disease,,1,Cell suppressed for small numbers
1979,01,Occurrence,Gender,Male,ALZ,Alzheimer's disease,,1,Cell suppressed for small numbers
1979,01,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,3289,,
1979,01,Occurrence,Gender,Female,CAN,Malignant neoplasms,1563,,
1979,01,Occurrence,Gender,Male,CAN,Malignant neoplasms,1726,,
1979,01,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,426,,
1979,01,Occurrence,Gender,Female,CLD,Chronic lower respiratory diseases,146,,
1979,01,Occurrence,Gender,Male,CLD,Chronic lower respiratory diseases,280,,
1979,01,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,189,,
1979,01,Occurrence,Gender,Female,DIA,Diabetes mellitus,115,,
1979,01,Occurrence,Gender,Male,DIA,Diabetes mellitus,74,,
1979,01,Occurrence,Total Population,Total Population,HOM,Assault (homicide),238,,
1979,01,Occurrence,Gender,Female,HOM,Assault (homicide),49,,
1979,01,Occurrence,Gender,Male,HOM,Assault (homicide),189,,
1979,01,Occurrence,Total Population,Total Population,HTD,Diseases of heart,5858,,
1979,01,Occurrence,Gender,Female,HTD,Diseases of heart,2690,,
1979,01,Occurrence,Gender,Male,HTD,Diseases of heart,3168,,
1979,01,Occurrence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,73,,
1979,01,Occurrence,Gender,Female,HYP,Essential hypertension and hypertensive renal disease,31,,
1979,01,Occurrence,Gender,Male,HYP,Essential hypertension and hypertensive renal disease,42,,
1979,01,Occurrence,Total Population,Total Population,INJ,Accidents (unintentional injuries),718,,
1979,01,Occurrence,Gender,Female,INJ,Accidents (unintentional injuries),219,,
1979,01,Occurrence,Gender,Male,INJ,Accidents (unintentional injuries),499,,
1979,01,Occurrence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,432,,
1979,01,Occurrence,Gender,Female,LIV,Chronic liver disease and cirrhosis,157,,
1979,01,Occurrence,Gender,Male,LIV,Chronic liver disease and cirrhosis,275,,
1979,01,Occurrence,Total Population,Total Population,NEP,"Nephritis, nephrotic syndrome and nephrosis",98,,
1979,01,Occurrence,Gender,Female,NEP,"Nephritis, nephrotic syndrome and nephrosis",44,,
1979,01,Occurrence,Gender,Male,NEP,"Nephritis, nephrotic syndrome and nephrosis",54,,
1979,01,Occurrence,Total Population,Total Population,PAR,Parkinson's disease,30,,
1979,01,Occurrence,Gender,Female,PAR,Parkinson's disease,,1,Cell suppressed for small numbers
1979,01,Occurrence,Gender,Male,PAR,Parkinson's disease,,2,Cell suppressed for complementary cell
1979,01,Occurrence,Total Population,Total Population,PNF,Influenza and pneumonia,428,,
1979,01,Occurrence,Gender,Female,PNF,Influenza and pneumonia,213,,
1979,01,Occurrence,Gender,Male,PNF,Influenza and pneumonia,215,,
1979,01,Occurrence,Total Population,Total Population,STK,Cerebrovascular diseases,1549,,
1979,01,Occurrence,Gender,Female,STK,Cerebrovascular diseases,950,,
1979,01,Occurrence,Gender,Male,STK,Cerebrovascular diseases,599,,
1979,01,Occurrence,Total Population,Total Population,SUI,Intentional self-harm (suicide),316,,
1979,01,Occurrence,Gender,Female,SUI,Intentional self-harm (suicide),87,,
1979,01,Occurrence,Gender,Male,SUI,Intentional self-harm (suicide),229,,
1979,01,Residence,Total Population,Total Population,ALL,All causes (total),15684,,
1979,01,Residence,Age,Under 1 year,ALL,All causes (total),383,,
1979,01,Residence,Age,1-4 years,ALL,All causes (total),58,,
1979,01,Residence,Age,5-14 years,ALL,All causes (total),73,,
1979,01,Residence,Age,15-24 years,ALL,All causes (total),410,,
1979,01,Residence,Age,25-34 years,ALL,All causes (total),434,,
1979,01,Residence,Age,35-44 years,ALL,All causes (total),503,,
1979,01,Residence,Age,45-54 years,ALL,All causes (total),1079,,
1979,01,Residence,Age,55-64 years,ALL,All causes (total),2308,,
1979,01,Residence,Age,65-74 years,ALL,All causes (total),3369,,
1979,01,Residence,Age,75-84 years,ALL,All causes (total),4045,,
1979,01,Residence,Age,85 years and over,ALL,All causes (total),3014,,
1979,01,Residence,Gender,Female,ALL,All causes (total),7264,,
1979,01,Residence,Gender,Male,ALL,All causes (total),8420,,
1979,01,Residence,Total Population,Total Population,ALZ,Alzheimer's disease,13,,
1979,01,Residence,Gender,Female,ALZ,Alzheimer's disease,,1,Cell suppressed for small numbers
1979,01,Residence,Gender,Male,ALZ,Alzheimer's disease,,1,Cell suppressed for small numbers
1979,01,Residence,Total Population,Total Population,CAN,Malignant neoplasms,3253,,
1979,01,Residence,Gender,Female,CAN,Malignant neoplasms,1547,,
1979,01,Residence,Gender,Male,CAN,Malignant neoplasms,1706,,
1979,01,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,423,,
1979,01,Residence,Gender,Female,CLD,Chronic lower respiratory diseases,146,,
1979,01,Residence,Gender,Male,CLD,Chronic lower respiratory diseases,277,,
1979,01,Residence,Total Population,Total Population,DIA,Diabetes mellitus,189,,
1979,01,Residence,Gender,Female,DIA,Diabetes mellitus,115,,
1979,01,Residence,Gender,Male,DIA,Diabetes mellitus,74,,
1979,01,Residence,Total Population,Total Population,HOM,Assault (homicide),241,,
1979,01,Residence,Gender,Female,HOM,Assault (homicide),51,,
1979,01,Residence,Gender,Male,HOM,Assault (homicide),190,,
1979,01,Residence,Total Population,Total Population,HTD,Diseases of heart,5780,,
1979,01,Residence,Gender,Female,HTD,Diseases of heart,2657,,
1979,01,Residence,Gender,Male,HTD,Diseases of heart,3123,,
1979,01,Residence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,74,,
1979,01,Residence,Gender,Female,HYP,Essential hypertension and hypertensive renal disease,31,,
1979,01,Residence,Gender,Male,HYP,Essential hypertension and hypertensive renal disease,43,,
1979,01,Residence,Total Population,Total Population,INJ,Accidents (unintentional injuries),714,,
1979,01,Residence,Gender,Female,INJ,Accidents (unintentional injuries),212,,
1979,01,Residence,Gender,Male,INJ,Accidents (unintentional injuries),502,,
1979,01,Residence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,432,,
