"Year","Geography_Type","Strata","Strata_Name","Cause","Cause_Desc","Count","Annotation_Code","Annotation_Desc"
1979,Occurrence,Total Population,Total Population,ALL,All causes (total),177873,,
1979,Occurrence,Age,Under 1 year,ALL,All causes (total),4268,,
1979,Occurrence,Age,1-4 years,ALL,All causes (total),860,,
1979,Occurrence,Age,5-14 years,ALL,All causes (total),1009,,
1979,Occurrence,Age,15-24 years,ALL,All causes (total),5553,,
1979,Occurrence,Age,25-34 years,ALL,All causes (total),5671,,
1979,Occurrence,Age,35-44 years,ALL,All causes (total),5885,,
1979,Occurrence,Age,45-54 years,ALL,All causes (total),12811,,
1979,Occurrence,Age,55-64 years,ALL,All causes (total),26464,,
1979,Occurrence,Age,65-74 years,ALL,All causes (total),39140,,
1979,Occurrence,Age,75-84 years,ALL,All causes (total),44484,,
1979,Occurrence,Age,85 years and over,ALL,All causes (total),31592,,
1979,Occurrence,Gender,Female,ALL,All causes (total),81574,,
1979,Occurrence,Gender,Male,ALL,All causes (total),96299,,
1979,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,110,,
1979,Occurrence,Gender,Female,ALZ,Alzheimer's disease,45,,
1979,Occurrence,Gender,Male,ALZ,Alzheimer's disease,65,,
1979,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,39039,,
1979,Occurrence,Gender,Female,CAN,Malignant neoplasms,18490,,
1979,Occurrence,Gender,Male,CAN,Malignant neoplasms,20549,,
1979,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,5359,,
1979,Occurrence,Gender,Female,CLD,Chronic lower respiratory diseases,1871,,
1979,Occurrence,Gender,Male,CLD,Chronic lower respiratory diseases,3488,,
1979,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,2339,,
1979,Occurrence,Gender,Female,DIA,Diabetes mellitus,1340,,
1979,Occurrence,Gender,Male,DIA,Diabetes mellitus,999,,
1979,Occurrence,Total Population,Total Population,HOM,Assault (homicide),3005,,
1979,Occurrence,Gender,Female,HOM,Assault (homicide),596,,
1979,Occurrence,Gender,Male,HOM,Assault (homicide),2409,,
1979,Occurrence,Total Population,Total Population,HTD,Diseases of heart,63422,,
1979,Occurrence,Gender,Female,HTD,Diseases of heart,29277,,
1979,Occurrence,Gender,Male,HTD,Diseases of heart,34145,,
1979,Occurrence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,615,,
1979,Occurrence,Gender,Female,HYP,Essential hypertension and hypertensive renal disease,342,,
1979,Occurrence,Gender,Male,HYP,Essential hypertension and hypertensive renal disease,273,,
1979,Occurrence,Total Population,Total Population,INJ,Accidents (unintentional injuries),10444,,
1979,Occurrence,Gender,Female,INJ,Accidents (unintentional injuries),2979,,
1979,Occurrence,Gender,Male,INJ,Accidents (unintentional injuries),7465,,
