"Year","Geography_Type","Strata","Strata_Name","Cause","Cause_Desc","ICD_Revision","Count","Annotation_Code","Annotation_Desc","Data_Revision_Date"
2014,Occurrence,Total Population,Total Population,ALL,All causes (total),ICD-10,246808,,,01/16/2025
2014,Occurrence,Age,Under 1 year,ALL,All causes (total),ICD-10,2175,,,01/16/2025
2014,Occurrence,Age,1-4 years,ALL,All causes (total),ICD-10,368,,,01/16/2025
2014,Occurrence,Age,5-14 years,ALL,All causes (total),ICD-10,520,,,01/16/2025
2014,Occurrence,Age,15-24 years,ALL,All causes (total),ICD-10,2904,,,01/16/2025
2014,Occurrence,Age,25-34 years,ALL,All causes (total),ICD-10,4554,,,01/16/2025
2014,Occurrence,Age,35-44 years,ALL,All causes (total),ICD-10,6765,,,01/16/2025
2014,Occurrence,Age,45-54 years,ALL,All causes (total),ICD-10,16722,,,01/16/2025
2014,Occurrence,Age,55-64 years,ALL,All causes (total),ICD-10,32653,,,01/16/2025
2014,Occurrence,Age,65-74 years,ALL,All causes (total),ICD-10,41417,,,01/16/2025
2014,Occurrence,Age,75-84 years,ALL,All causes (total),ICD-10,56560,,,01/16/2025
2014,Occurrence,Age,85 years and over,ALL,All causes (total),ICD-10,82110,,,01/16/2025
2014,Occurrence,Gender,Female,ALL,All causes (total),ICD-10,119751,,,01/16/2025
2014,Occurrence,Gender,Male,ALL,All causes (total),ICD-10,127040,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Female * American Indian/Alaska Native,ALL,All causes (total),ICD-10,565,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Female * Asian,ALL,All causes (total),ICD-10,11045,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Female * Black,ALL,All causes (total),ICD-10,8792,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Female * Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,379,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Female * Hispanic,ALL,All causes (total),ICD-10,19982,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Female * Multi-Race,ALL,All causes (total),ICD-10,1029,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Female * White,ALL,All causes (total),ICD-10,77694,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Female * Other/Unknown,ALL,All causes (total),ICD-10,265,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Male * American Indian/Alaska Native,ALL,All causes (total),ICD-10,569,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Male * Asian,ALL,All causes (total),ICD-10,11299,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Male * Black,ALL,All causes (total),ICD-10,9750,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Male * Hawaiian/Pacific Islander,ALL,All causes (total),ICD-10,445,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Male * Hispanic,ALL,All causes (total),ICD-10,24382,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Male * Multi-Race,ALL,All causes (total),ICD-10,1032,,,01/16/2025
2014,Occurrence,Gender * Race-Ethnicity,Male * White,ALL,All causes (total),ICD-10,79094,,,01/16/2025
