"Year","Month","Geography_Type","Strata","Strata_Name","Count","Annotation_Code","Annotation_Desc","Data_Revision_Date"
1960,01,Occurrence,Total Population,Total Population,28830,,,10/30/2024
1960,01,Residence,Total Population,Total Population,28838,,,10/30/2024
1960,02,Occurrence,Total Population,Total Population,27873,,,10/30/2024
1960,02,Residence,Total Population,Total Population,27913,,,10/30/2024
1960,03,Occurrence,Total Population,Total Population,29984,,,10/30/2024
1960,03,Residence,Total Population,Total Population,30002,,,10/30/2024
1960,04,Occurrence,Total Population,Total Population,28827,,,10/30/2024
1960,04,Residence,Total Population,Total Population,28833,,,10/30/2024
1960,05,Occurrence,Total Population,Total Population,30554,,,10/30/2024
1960,05,Residence,Total Population,Total Population,30585,,,10/30/2024
1960,06,Occurrence,Total Population,Total Population,30279,,,10/30/2024
1960,06,Residence,Total Population,Total Population,30289,,,10/30/2024
1960,07,Occurrence,Total Population,Total Population,32940,,,10/30/2024
1960,07,Residence,Total Population,Total Population,32989,,,10/30/2024
1960,08,Occurrence,Total Population,Total Population,33251,,,10/30/2024
1960,08,Residence,Total Population,Total Population,33287,,,10/30/2024
1960,09,Occurrence,Total Population,Total Population,33679,,,10/30/2024
1960,09,Residence,Total Population,Total Population,33711,,,10/30/2024
1960,10,Occurrence,Total Population,Total Population,32107,,,10/30/2024
1960,10,Residence,Total Population,Total Population,32130,,,10/30/2024
1960,11,Occurrence,Total Population,Total Population,30715,,,10/30/2024
1960,11,Residence,Total Population,Total Population,30724,,,10/30/2024
1960,12,Occurrence,Total Population,Total Population,32486,,,10/30/2024
1960,12,Residence,Total Population,Total Population,32498,,,10/30/2024
1961,01,Occurrence,Total Population,Total Population,30739,,,10/30/2024
1961,01,Residence,Total Population,Total Population,30780,,,10/30/2024
1961,02,Occurrence,Total Population,Total Population,28044,,,10/30/2024
1961,02,Residence,Total Population,Total Population,28059,,,10/30/2024
1961,03,Occurrence,Total Population,Total Population,31671,,,10/30/2024
1961,03,Residence,Total Population,Total Population,31680,,,10/30/2024
1961,04,Occurrence,Total Population,Total Population,29990,,,10/30/2024
1961,04,Residence,Total Population,Total Population,29998,,,10/30/2024
1961,05,Occurrence,Total Population,Total Population,31388,,,10/30/2024
1961,05,Residence,Total Population,Total Population,31397,,,10/30/2024
1961,06,Occurrence,Total Population,Total Population,31177,,,10/30/2024
1961,06,Residence,Total Population,Total Population,31194,,,10/30/2024
1961,07,Occurrence,Total Population,Total Population,33254,,,10/30/2024
1961,07,Residence,Total Population,Total Population,33303,,,10/30/2024
1961,08,Occurrence,Total Population,Total Population,33770,,,10/30/2024
1961,08,Residence,Total Population,Total Population,33805,,,10/30/2024
1961,09,Occurrence,Total Population,Total Population,33758,,,10/30/2024
1961,09,Residence,Total Population,Total Population,33794,,,10/30/2024
1961,10,Occurrence,Total Population,Total Population,33255,,,10/30/2024
1961,10,Residence,Total Population,Total Population,33287,,,10/30/2024
1961,11,Occurrence,Total Population,Total Population,31474,,,10/30/2024
1961,11,Residence,Total Population,Total Population,31507,,,10/30/2024
1961,12,Occurrence,Total Population,Total Population,32375,,,10/30/2024
1961,12,Residence,Total Population,Total Population,32393,,,10/30/2024
1962,01,Occurrence,Total Population,Total Population,30165,,,10/30/2024
1962,01,Residence,Total Population,Total Population,30186,,,10/30/2024
1962,02,Occurrence,Total Population,Total Population,28215,,,10/30/2024
1962,02,Residence,Total Population,Total Population,28237,,,10/30/2024
1962,03,Occurrence,Total Population,Total Population,31242,,,10/30/2024
1962,03,Residence,Total Population,Total Population,31265,,,10/30/2024
1962,04,Occurrence,Total Population,Total Population,30062,,,10/30/2024
1962,04,Residence,Total Population,Total Population,30065,,,10/30/2024
1962,05,Occurrence,Total Population,Total Population,31137,,,10/30/2024
1962,05,Residence,Total Population,Total Population,31134,,,10/30/2024
1962,06,Occurrence,Total Population,Total Population,31438,,,10/30/2024
1962,06,Residence,Total Population,Total Population,31452,,,10/30/2024
1962,07,Occurrence,Total Population,Total Population,32635,,,10/30/2024
1962,07,Residence,Total Population,Total Population,32660,,,10/30/2024
1962,08,Occurrence,Total Population,Total Population,33933,,,10/30/2024
1962,08,Residence,Total Population,Total Population,34012,,,10/30/2024
1962,09,Occurrence,Total Population,Total Population,32565,,,10/30/2024
1962,09,Residence,Total Population,Total Population,32591,,,10/30/2024
1962,10,Occurrence,Total Population,Total Population,33294,,,10/30/2024
1962,10,Residence,Total Population,Total Population,33316,,,10/30/2024
1962,11,Occurrence,Total Population,Total Population,31170,,,10/30/2024
1962,11,Residence,Total Population,Total Population,31191,,,10/30/2024
1962,12,Occurrence,Total Population,Total Population,32199,,,10/30/2024
1962,12,Residence,Total Population,Total Population,32238,,,10/30/2024
1963,01,Occurrence,Total Population,Total Population,30227,,,10/30/2024
1963,01,Residence,Total Population,Total Population,30260,,,10/30/2024
1963,02,Occurrence,Total Population,Total Population,28381,,,10/30/2024
1963,02,Residence,Total Population,Total Population,28346,,,10/30/2024
1963,03,Occurrence,Total Population,Total Population,31463,,,10/30/2024
1963,03,Residence,Total Population,Total Population,31472,,,10/30/2024
1963,04,Occurrence,Total Population,Total Population,29983,,,10/30/2024
1963,04,Residence,Total Population,Total Population,29987,,,10/30/2024
1963,05,Occurrence,Total Population,Total Population,31425,,,10/30/2024
1963,05,Residence,Total Population,Total Population,31446,,,10/30/2024
1963,06,Occurrence,Total Population,Total Population,30758,,,10/30/2024
1963,06,Residence,Total Population,Total Population,30785,,,10/30/2024
1963,07,Occurrence,Total Population,Total Population,33247,,,10/30/2024
1963,07,Residence,Total Population,Total Population,33260,,,10/30/2024
1963,08,Occurrence,Total Population,Total Population,33836,,,10/30/2024
1963,08,Residence,Total Population,Total Population,33821,,,10/30/2024
1963,09,Occurrence,Total Population,Total Population,34092,,,10/30/2024
1963,09,Residence,Total Population,Total Population,34129,,,10/30/2024
1963,10,Occurrence,Total Population,Total Population,33590,,,10/30/2024
1963,10,Residence,Total Population,Total Population,33570,,,10/30/2024
1963,11,Occurrence,Total Population,Total Population,31036,,,10/30/2024
1963,11,Residence,Total Population,Total Population,31044,,,10/30/2024
1963,12,Occurrence,Total Population,Total Population,32388,,,10/30/2024
1963,12,Residence,Total Population,Total Population,32385,,,10/30/2024
1964,01,Occurrence,Total Population,Total Population,30021,,,10/30/2024
1964,01,Residence,Total Population,Total Population,30030,,,10/30/2024
1964,02,Occurrence,Total Population,Total Population,28887,,,10/30/2024
1964,02,Residence,Total Population,Total Population,28899,,,10/30/2024
1964,03,Occurrence,Total Population,Total Population,31504,,,10/30/2024
1964,03,Residence,Total Population,Total Population,31518,,,10/30/2024
1964,04,Occurrence,Total Population,Total Population,29995,,,10/30/2024
1964,04,Residence,Total Population,Total Population,30010,,,10/30/2024
1964,05,Occurrence,Total Population,Total Population,31569,,,10/30/2024
1964,05,Residence,Total Population,Total Population,31562,,,10/30/2024
1964,06,Occurrence,Total Population,Total Population,30302,,,10/30/2024
1964,06,Residence,Total Population,Total Population,30320,,,10/30/2024
1964,07,Occurrence,Total Population,Total Population,31718,,,10/30/2024
1964,07,Residence,Total Population,Total Population,31759,,,10/30/2024
1964,08,Occurrence,Total Population,Total Population,32583,,,10/30/2024
1964,08,Residence,Total Population,Total Population,32634,,,10/30/2024
1964,09,Occurrence,Total Population,Total Population,33664,,,10/30/2024
1964,09,Residence,Total Population,Total Population,33687,,,10/30/2024
1964,10,Occurrence,Total Population,Total Population,32611,,,10/30/2024
1964,10,Residence,Total Population,Total Population,32583,,,10/30/2024
1964,11,Occurrence,Total Population,Total Population,30266,,,10/30/2024
1964,11,Residence,Total Population,Total Population,30267,,,10/30/2024
1964,12,Occurrence,Total Population,Total Population,31320,,,10/30/2024
1964,12,Residence,Total Population,Total Population,31317,,,10/30/2024
1965,01,Occurrence,Total Population,Total Population,29003,,,10/30/2024
1965,01,Residence,Total Population,Total Population,29000,,,10/30/2024
1965,02,Occurrence,Total Population,Total Population,27181,,,10/30/2024
1965,02,Residence,Total Population,Total Population,27178,,,10/30/2024
1965,03,Occurrence,Total Population,Total Population,30382,,,10/30/2024
1965,03,Residence,Total Population,Total Population,30353,,,10/30/2024
1965,04,Occurrence,Total Population,Total Population,28763,,,10/30/2024
1965,04,Residence,Total Population,Total Population,28780,,,10/30/2024
1965,05,Occurrence,Total Population,Total Population,29757,,,10/30/2024
1965,05,Residence,Total Population,Total Population,29782,,,10/30/2024
1965,06,Occurrence,Total Population,Total Population,29169,,,10/30/2024
1965,06,Residence,Total Population,Total Population,29173,,,10/30/2024
1965,07,Occurrence,Total Population,Total Population,30565,,,10/30/2024
1965,07,Residence,Total Population,Total Population,30615,,,10/30/2024
