"Year","Month","Geography_Type","Strata","Strata_Name","Cause","Cause_Desc","Count","Annotation_Code","Annotation_Desc"
1970,01,Occurrence,Total Population,Total Population,ALL,All causes (total),15337,,
1970,01,Occurrence,Age,Under 1 year,ALL,All causes (total),537,,
1970,01,Occurrence,Age,1-4 years,ALL,All causes (total),78,,
1970,01,Occurrence,Age,5-14 years,ALL,All causes (total),99,,
1970,01,Occurrence,Age,15-24 years,ALL,All causes (total),371,,
1970,01,Occurrence,Age,25-34 years,ALL,All causes (total),375,,
1970,01,Occurrence,Age,35-44 years,ALL,All causes (total),563,,
1970,01,Occurrence,Age,45-54 years,ALL,All causes (total),1399,,
1970,01,Occurrence,Age,55-64 years,ALL,All causes (total),2383,,
1970,01,Occurrence,Age,65-74 years,ALL,All causes (total),3339,,
1970,01,Occurrence,Age,75-84 years,ALL,All causes (total),4020,,
1970,01,Occurrence,Age,85 years and over,ALL,All causes (total),2171,,
1970,01,Occurrence,Gender,Female,ALL,All causes (total),6875,,
1970,01,Occurrence,Gender,Male,ALL,All causes (total),8462,,
1970,01,Residence,Total Population,Total Population,ALL,All causes (total),15242,,
1970,01,Residence,Age,Under 1 year,ALL,All causes (total),533,,
1970,01,Residence,Age,1-4 years,ALL,All causes (total),76,,
1970,01,Residence,Age,5-14 years,ALL,All causes (total),100,,
1970,01,Residence,Age,15-24 years,ALL,All causes (total),365,,
1970,01,Residence,Age,25-34 years,ALL,All causes (total),376,,
1970,01,Residence,Age,35-44 years,ALL,All causes (total),567,,
1970,01,Residence,Age,45-54 years,ALL,All causes (total),1396,,
1970,01,Residence,Age,55-64 years,ALL,All causes (total),2381,,
1970,01,Residence,Age,65-74 years,ALL,All causes (total),3288,,
1970,01,Residence,Age,75-84 years,ALL,All causes (total),3987,,
1970,01,Residence,Age,85 years and over,ALL,All causes (total),2171,,
1970,01,Residence,Gender,Female,ALL,All causes (total),6831,,
1970,01,Residence,Gender,Male,ALL,All causes (total),8411,,
1970,02,Occurrence,Total Population,Total Population,ALL,All causes (total),13349,,
1970,02,Occurrence,Age,Under 1 year,ALL,All causes (total),495,,
1970,02,Occurrence,Age,1-4 years,ALL,All causes (total),81,,
1970,02,Occurrence,Age,5-14 years,ALL,All causes (total),121,,
1970,02,Occurrence,Age,15-24 years,ALL,All causes (total),338,,
