"Year","Geography_Type","Strata","Strata_Name","Cause","Cause_Desc","Count","Annotation_Code","Annotation_Desc"
1999,Occurrence,Total Population,Total Population,ALL,All causes (total),230054,,
1999,Occurrence,Age,Under 1 year,ALL,All causes (total),2818,,
1999,Occurrence,Age,1-4 years,ALL,All causes (total),609,,
1999,Occurrence,Age,5-14 years,ALL,All causes (total),804,,
1999,Occurrence,Age,15-24 years,ALL,All causes (total),3122,,
1999,Occurrence,Age,25-34 years,ALL,All causes (total),4416,,
1999,Occurrence,Age,35-44 years,ALL,All causes (total),9254,,
1999,Occurrence,Age,45-54 years,ALL,All causes (total),16091,,
1999,Occurrence,Age,55-64 years,ALL,All causes (total),22711,,
1999,Occurrence,Age,65-74 years,ALL,All causes (total),42046,,
1999,Occurrence,Age,75-84 years,ALL,All causes (total),66860,,
1999,Occurrence,Age,85 years and over,ALL,All causes (total),61249,,
1999,Occurrence,Gender,Female,ALL,All causes (total),115218,,
1999,Occurrence,Gender,Male,ALL,All causes (total),114836,,
1999,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,3939,,
1999,Occurrence,Gender,Female,ALZ,Alzheimer's disease,2678,,
1999,Occurrence,Gender,Male,ALZ,Alzheimer's disease,1261,,
1999,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,53328,,
1999,Occurrence,Gender,Female,CAN,Malignant neoplasms,26045,,
1999,Occurrence,Gender,Male,CAN,Malignant neoplasms,27283,,
1999,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,13272,,
1999,Occurrence,Gender,Female,CLD,Chronic lower respiratory diseases,6941,,
1999,Occurrence,Gender,Male,CLD,Chronic lower respiratory diseases,6331,,
1999,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,6038,,
1999,Occurrence,Gender,Female,DIA,Diabetes mellitus,3245,,
1999,Occurrence,Gender,Male,DIA,Diabetes mellitus,2793,,
1999,Occurrence,Total Population,Total Population,HOM,Assault (homicide),2067,,
1999,Occurrence,Gender,Female,HOM,Assault (homicide),421,,
1999,Occurrence,Gender,Male,HOM,Assault (homicide),1646,,
1999,Occurrence,Total Population,Total Population,HTD,Diseases of heart,70596,,
1999,Occurrence,Gender,Female,HTD,Diseases of heart,36067,,
1999,Occurrence,Gender,Male,HTD,Diseases of heart,34529,,
1999,Occurrence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,1890,,
1999,Occurrence,Gender,Female,HYP,Essential hypertension and hypertensive renal disease,1116,,
1999,Occurrence,Gender,Male,HYP,Essential hypertension and hypertensive renal disease,774,,
1999,Occurrence,Total Population,Total Population,INJ,Accidents (unintentional injuries),9168,,
1999,Occurrence,Gender,Female,INJ,Accidents (unintentional injuries),2882,,
1999,Occurrence,Gender,Male,INJ,Accidents (unintentional injuries),6286,,
1999,Occurrence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,3574,,
1999,Occurrence,Gender,Female,LIV,Chronic liver disease and cirrhosis,1188,,
1999,Occurrence,Gender,Male,LIV,Chronic liver disease and cirrhosis,2386,,
